Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Approve new company,Chrome 107.0.0.0,,,2022-11-28 12:44:29,2022-11-28 12:49:07,4m - 37.809s,FAILED
,,,,,,,
Test Cases/Company New Reg -Update,Chrome 107.0.0.0,,,2022-11-28 12:44:30,2022-11-28 12:47:32,3m - 2.206s,FAILED
"callTestCase(findTestCase(""Login SME""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:44:32,2022-11-28 12:45:08,35.613s,PASSED
"mouseOver(findTestObject(""register/fill profile/popup""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:08,2022-11-28 12:45:10,2.196s,PASSED
"click(findTestObject(""register/fill profile/Select company""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:10,2022-11-28 12:45:18,8.562s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 107.0.0.0,,,2022-11-28 12:45:18,2022-11-28 12:45:19,0.365s,PASSED
"mouseOver(findTestObject(""register/fill profile/header""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:19,2022-11-28 12:45:20,0.943s,PASSED
"click(findTestObject(""register/fill profile/Select prof updated""), CONTINUE_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:20,2022-11-28 12:45:20,0.842s,PASSED
"waitForElementVisible(findTestObject(""register/fill profile/input__CompanyName""), 10)",Chrome 107.0.0.0,,,2022-11-28 12:45:20,2022-11-28 12:45:27,6.930s,PASSED
"setText(findTestObject(""register/fill profile/input__CompanyName""), ""test company"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:27,2022-11-28 12:45:29,1.335s,PASSED
"setText(findTestObject(""register/fill profile/input__BrandName""), ""brand"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:29,2022-11-28 12:45:30,1.420s,PASSED
"setText(findTestObject(""register/fill profile/input__BrandNameAr""), ""براند"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:30,2022-11-28 12:45:31,1.285s,PASSED
"click(findTestObject(""register/fill profile/select lan""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:31,2022-11-28 12:45:32,0.976s,PASSED
"click(findTestObject(""register/fill profile/lang arabic""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:32,2022-11-28 12:45:33,0.852s,PASSED
"click(findTestObject(""register/fill profile/next 1""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:33,2022-11-28 12:45:34,0.922s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/scroll""), 2, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:34,2022-11-28 12:45:35,1.040s,PASSED
"click(findTestObject(""register/fill profile/select city""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:35,2022-11-28 12:45:36,0.799s,PASSED
"click(findTestObject(""register/fill profile/city""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:36,2022-11-28 12:45:37,0.878s,PASSED
"setText(findTestObject(""register/fill profile/Page_/input__District""), ""test "", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:37,2022-11-28 12:45:38,1.365s,PASSED
"setText(findTestObject(""register/fill profile/input__BuildingNumber""), ""4544"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:38,2022-11-28 12:45:40,1.570s,PASSED
"setText(findTestObject(""register/fill profile/input__StreetAddress""), ""Street"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:40,2022-11-28 12:45:41,1.506s,PASSED
"setText(findTestObject(""register/fill profile/input__StreetAddressAr""), ""شارع ابو حمد"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:41,2022-11-28 12:45:43,1.585s,PASSED
"setText(findTestObject(""register/fill profile/input__GeoLocation""), ""https://www.google.com/maps?cid=18374608280476341734"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:43,2022-11-28 12:45:45,2.178s,PASSED
"click(findTestObject(""register/fill profile/next2""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:45,2022-11-28 12:45:46,0.859s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/next3""), 0, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:46,2022-11-28 12:45:47,0.914s,PASSED
"click(findTestObject(""register/fill profile/Page_/next3""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:47,2022-11-28 12:45:48,0.977s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/scroll""), 0, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 12:45:48,2022-11-28 12:45:49,1.634s,PASSED
